High School,Type,League
Anacostia,Public,DCIAA
Ballou,Public,DCIAA
Bard,Public,DCIAA
Banneker,Public,DCIAA
Bell,Public,DCIAA
Cardozo,Public,DCIAA
Cesar Chavez,Public Charter,PCSAA
Coolidge,Public,DCIAA
DC International School,Public Charter,PCSAA
Digital Pioneers Academy,Public Charter,PCSAA
Dunbar,Public,DCIAA
Eastern,Public,DCIAA
Friendship Collegiate,Public Charter,PCSAA
Friendship Tech,Public Charter,PCSAA
H.D. Woodson,Public,DCIAA
IDEA,Public Charter,PCSAA
Jackson-Reed,Public,DCIAA
Kingsman Academy,Public Charter,PCSAA
KIPP,Public Charter,PCSAA
Maya Angelou,Public Charter,PCSAA
McKinley Tech,Public,DCIAA
Paul Public Charter,Public Charter,PCSAA
Perry Street Prep,Public Charter,PCSAA
Phelps,Public,DCIAA
Richard Wright,Public Charter,PCSAA
Ron Brown,Public,DCIAA
School Without Walls,Public,DCIAA
SEED,Public Charter,PCSAA
Theodore Roosevelt,Public,DCIAA
Thurgood Marshall,Public Charter,PCSAA
Washington Latin,Public Charter,PCSAA