High School,County,State,Type,League,Class,Region
Annapolis,Anne Arundel,Maryland,Public,MPSSAA,4A,East II
Arundel,Anne Arundel,Maryland,Public,MPSSAA,3A,East I
Broadneck,Anne Arundel,Maryland,Public,MPSSAA,4A,East II
Chesapeake,Anne Arundel,Maryland,Public,MPSSAA,3A,South I 
Crofton,Anne Arundel,Maryland,Public,MPSSAA,4A,East I 
Glen Burnie,Anne Arundel,Maryland,Public,MPSSAA,4A,East I 
Meade,Anne Arundel,Maryland,Public,MPSSAA,4A,East I 
North County,Anne Arundel,Maryland,Public,MPSSAA,4A,East I 
Northeast,Anne Arundel,Maryland,Public,MPSSAA,3A,South I 
Old Mill,Anne Arundel,Maryland,Public,MPSSAA,3A,South I 
Severn Run,Anne Arundel,Maryland,Public,MPSSAA,3A,South I 
Severna Park,Anne Arundel,Maryland,Public,MPSSAA,3A,East I
South River,Anne Arundel,Maryland,Public,MPSSAA,3A,East I
Southern,Anne Arundel,Maryland,Public,MPSSAA,2A,West II
Calvert,Calvert,Maryland,Public,MPSSAA,2A,South II
Huntingtown,Calvert,Maryland,Public,MPSSAA,2A,South II
Northern,Calvert,Maryland,Public,MPSSAA,3A,East II
Patuxent,Calvert,Maryland,Public,MPSSAA,2A,South II
La Plata,Charles,Maryland,Public,MPSSAA,2A ,South II
Lackey,Charles,Maryland,Public,MPSSAA,2A,South I
McDonough,Charles,Maryland,Public,MPSSAA,2A,South II
North Point,Charles,Maryland,Public,MPSSAA,4A,East II
St. Charles,Charles,Maryland,Public,MPSSAA,3A,East II
Thomas Stone,Charles,Maryland,Public,MPSSAA,2A,South II
Westlake,Charles,Maryland,Public,MPSSAA,2A,South II
Atholton,Howard,Maryland,Public,MPSSAA,3A,South II
Centennial,Howard,Maryland,Public,MPSSAA,3A,South II
Glenelg,Howard,Maryland,Public,MPSSAA,3A,South I 
Guilford Park,Howard,Maryland,Public,MPSSAA,3A,South II
Hammond,Howard,Maryland,Public,MPSSAA,2A,West II
Howard,Howard,Maryland,Public,MPSSAA,3A,South I
Long Reach,Howard,Maryland,Public,MPSSAA,3A,South II
Marriotts Ridge,Howard,Maryland,Public,MPSSAA,3A,South I 
Mount Hebron,Howard,Maryland,Public,MPSSAA,3A,South I
Oakland Mills,Howard,Maryland,Public,MPSSAA,3A,South II
Reservoir,Howard,Maryland,Public,MPSSAA,4A,South I
River Hill,Howard,Maryland,Public,MPSSAA,3A,South II
Wilde Lake,Howard,Maryland,Public,MPSSAA,2A,West II
Bethesda-Chevy Chase,Montgomery,Maryland,Public,MPSSAA,4A,West II
Blair,Montgomery,Maryland,Public,MPSSAA,4A,South I
Blake,Montgomery,Maryland,Public,MPSSAA,3A,West II
Churchill,Montgomery,Maryland,Public,MPSSAA,4A,West II
Clarksburg,Montgomery,Maryland,Public,MPSSAA,4A,West I
Damascus,Montgomery,Maryland,Public,MPSSAA,3A,West II
Einstein,Montgomery,Maryland,Public,MPSSAA,4A,North II
Gaithersburg,Montgomery,Maryland,Public,MPSSAA,4A,West II
Kennedy,Montgomery,Maryland,Public,MPSSAA,4A ,North II
Magruder,Montgomery,Maryland,Public,MPSSAA,3A,West II
Northwest,Montgomery,Maryland,Public,MPSSAA,4A,West I
Northwood,Montgomery,Maryland,Public,MPSSAA,4A,South I
Paint Branch,Montgomery,Maryland,Public,MPSSAA,4A,North II
Poolesville,Montgomery,Maryland,Public,MPSSAA,2A,West II
Quince Orchard,Montgomery,Maryland,Public,MPSSAA,4A,West II
Richard Montgomery,Montgomery,Maryland,Public,MPSSAA,4A,North II
Rockville,Montgomery,Maryland,Public,MPSSAA,3A,West II
Seneca Valley,Montgomery,Maryland,Public,MPSSAA,4A,West I
Sherwood,Montgomery,Maryland,Public,MPSSAA,3A,West II
Springbrook,Montgomery,Maryland,Public,MPSSAA,4A ,North II
Walter Johnson,Montgomery,Maryland,Public,MPSSAA,4A,West II
Watkins Mill,Montgomery,Maryland,Public,MPSSAA,3A,West II
Wheaton,Montgomery,Maryland,Public,MPSSAA,4A,North II
Whitman,Montgomery,Maryland,Public,MPSSAA,4A,West II
Wootton,Montgomery,Maryland,Public,MPSSAA,3A,West II
Bladensburg,Prince George's,Maryland,Public,MPSSAA,4A,South II
Bowie,Prince George's,Maryland,Public,MPSSAA,4A,East II
C.H. Flowers,Prince George's,Maryland,Public,MPSSAA,4A,South II
Central,Prince George's,Maryland,Public,MPSSAA,1A,South II
CMIT-North,Prince George's,Maryland,Public,MPSSAA,1A,South II
CMIT-South,Prince George's,Maryland,Public,MPSSAA,1A,South II
College Park Academy,Prince George's,Maryland,Public,MPSSAA,1A ,South II
Crossland,Prince George's,Maryland,Public,MPSSAA,2A,South I
Douglass,Prince George's,Maryland,Public,MPSSAA,2A,South I
DuVal,Prince George's,Maryland,Public,MPSSAA,4A,South II
Eleanor Roosevelt,Prince George's,Maryland,Public,MPSSAA,4A,South II
Fairmont Heights,Prince George's,Maryland,Public,MPSSAA,2A,South I
Friendly,Prince George's,Maryland,Public,MPSSAA,1A,South II
Gwynn Park,Prince George's,Maryland,Public,MPSSAA,2A,South I
High Point,Prince George's,Maryland,Public,MPSSAA,4A,South I
International-Langley Park,Prince George's,Maryland,Public,MPSSAA,1A,South
International-Largo,Prince George's,Maryland,Public,MPSSAA,1A,South II
Largo,Prince George's,Maryland,Public,MPSSAA,2A,South I
Laurel,Prince George's,Maryland,Public,MPSSAA,4A,South I
Northwestern,Prince George's,Maryland,Public,MPSSAA,4A,South I
Oxon Hill,Prince George's,Maryland,Public,MPSSAA,3A,East II
Parkdale,Prince George's,Maryland,Public,MPSSAA,4A,South II
Potomac,Prince George's,Maryland,Public,MPSSAA,2A,South I 
Suitland,Prince George's,Maryland,Public,MPSSAA,4A,East II
Surrattsville,Prince George's,Maryland,Public,MPSSAA,1A,South II
Wise,Prince George's,Maryland,Public,MPSSAA,4A,South II
Chopticon,Saint Mary's,Maryland,Public,MPSSAA,3A,East II
Great Mills,Saint Mary's,Maryland,Public,MPSSAA,3A,East II
Leonardtown,Saint Mary's,Maryland,Public,MPSSAA,4A,East II