High School,County/City,State,Type,League,Class,Region,District
Wakefield,Arlington,Virginia,Public,VHSL,6,D,Liberty
Washington-Liberty,Arlington,Virginia,Public,VHSL,6,D,Liberty
Yorktown,Arlington,Virginia,Public,VHSL,6,D,Liberty
Alexandria City,Alexandria,Virginia,Public,VHSL,6,C,Patriot
Meridian,Falls Church,Virginia,Public,VHSL,3,B,Northwestern
Osbourn,Manassas,Virginia,Public,VHSL,6,B,Cedar Run 
Manassas Park,Manassas,Virginia,Public,VHSL,3,B,Northwestern 
Annandale,Fairfax,Virginia,Public,VHSL,6,C,National
C.G. Woodson,Fairfax,Virginia,Public,VHSL,6,C,Patriot
Centreville,Fairfax,Virginia,Public,VHSL,6,D,Concorde
Chantilly,Fairfax,Virginia,Public,VHSL,6,D,Concorde
Edison,Fairfax,Virginia,Public,VHSL,6,C,National
Fairfax,Fairfax,Virginia,Public,VHSL,6,C,Patriot
Falls Church,Fairfax,Virginia,Public,VHSL,6,C,National
Hayfield,Fairfax,Virginia,Public,VHSL,6,C,National
Herndon,Fairfax,Virginia,Public,VHSL,6,D,Liberty
Lake Braddock,Fairfax,Virginia,Public,VHSL,6,C,Patriot
Langley,Fairfax,Virginia,Public,VHSL,6,D,Liberty
Lewis,Fairfax,Virginia,Public,VHSL,6,C,National
Madison,Fairfax,Virginia,Public,VHSL,6,D,Concorde
Marshall,Fairfax,Virginia,Public,VHSL,6,D,Liberty
McLean,Fairfax,Virginia,Public,VHSL,6,D,Liberty
Mount Vernon,Fairfax,Virginia,Public,VHSL,6,C,National
Oakton,Fairfax,Virginia,Public,VHSL,6,D,Concorde
Robinson,Fairfax,Virginia,Public,VHSL,6,C,Patriot
South County,Fairfax,Virginia,Public,VHSL,6,C,Patriot
South Lakes,Fairfax,Virginia,Public,VHSL,6,D,Concorde
Thomas Jefferson,Fairfax,Virginia,Public,VHSL,6,C,National
West Potomac,Fairfax,Virginia,Public,VHSL,6,C,Patriot
West Springfield,Fairfax,Virginia,Public,VHSL,6,C,Partiot
Westfield,Fairfax,Virginia,Public,VHSL,6,D,Concorde
Briar Woods,Loudoun,Virginia,Public,VHSL,5,D,Potomac
Broad Run,Loudoun,Virginia,Public,VHSL,4,C,Catoctin
Champe,Loudoun,Virginia,Public,VHSL,4,C,Catoctin
Dominion,Loudoun,Virginia,Public,VHSL,4,C,Dulles
Freedom (South Riding),Loudoun,Virginia,Public,VHSL,6,B,Cedar Run 
Heritage,Loudoun,Virginia,Public,VHSL,4,C,Dulles
Independence,Loudoun,Virginia,Public,VHSL,5,D,Potomac
Lightridge,Loudoun,Virginia,Public,VHSL,5,D,Potomac
Loudoun County,Loudoun,Virginia,Public,VHSL,4,C,Catoctin
Loudoun Valley,Loudoun,Virginia,Public,VHSL,4,C,Dulles
Park View,Loudoun,Virginia,Public,VHSL,4,C,Catoctin
Potomac Falls,Loudoun,Virginia,Public,VHSL,5,D,Potomac
Riverside,Loudoun,Virginia,Public,VHSL,5,D,Potomac 
Rock Ridge,Loudoun,Virginia,Public,VHSL,4,C,Dulles
Stone Bridge,Loudoun,Virginia,Public,VHSL,5,D,Potomac 
Tuscarora,Loudoun,Virginia,Public,VHSL,4,C,Dulles
Woodgrove,Loudoun,Virginia,Public,VHSL,4,C,Catoctin
Battlefield,Prince William,Virginia,Public,VHSL,6,B,Cedar Run 
Brentsville,Prince William,Virginia,Public,VHSL,3,B,Northwestern 
Colgan,Prince William,Virginia,Public,VHSL,6,B,Cardinal
Forest Park,Prince William,Virginia,Public,VHSL,6,B,Cardinal
Freedom (Woodbridge),Prince William,Virginia,Public,VHSL,6,B,Cardinal
Gainesville,Prince William,Virginia,Public,VHSL,6,B,Cedar Run 
Gar-Field,Prince William,Virginia,Public,VHSL,6,B,Cardinal
Hylton,Prince William,Virginia,Public,VHSL,6,B,Cardinal
Osbourn Park,Prince William,Virginia,Public,VHSL,6,B,Cedar Run 
Patriot,Prince William,Virginia,Public,VHSL,6,B,Cedar Run 
Potomac (Va.),Prince William,Virginia,Public,VHSL,6,B,Cardinal
Unity Reed,Prince William,Virginia,Public,VHSL,6,B,Cedar Run 
Woodbridge,Prince William,Virginia,Public,VHSL,6,B,Cardinal
,,,,,,,
,,,,,,,
Quantico,Prince William,Virginia,Public,VHSL,,,